# Thai Wordnet	tha	http://th.asianwordnet.org/	wordnet 
00001740-a	lemma	สามารถ
00001740-n	lemma	เอกลักษณ์
00001740-r	lemma	โดยไม่ใช้เครื่องดนตรี
00001740-v	lemma	หายใจ
00001740-v	lemma	หายใจเข้าออก
00001837-r	lemma	ในคริสตศักราช
00001930-n	lemma	รูปธรรม
00001930-n	lemma	สิ่งที่เป็นรูปธรรม
00001981-r	lemma	ในช่วงคริสตศักราช
00002098-a	lemma	ไม่สามารถ
00002137-n	lemma	นามธรรม
00002137-n	lemma	สิ่งที่เป็นนามธรรม
00002142-r	lemma	ก่อนคริสต์ศักราช
00002296-r	lemma	ก่อนคริสตศักราช
00002312-a	lemma	ซึ่งอยู่ห่างจากแกน
00002325-v	lemma	หายใจ
00002436-r	lemma	บนหลังม้า
00002452-n	lemma	ของ
00002452-n	lemma	สิ่ง
00002527-a	lemma	ที่ใกล้ชิดอวัยวะ
00002573-v	lemma	ถอนหายใจ
00002621-r	lemma	แทบจะไม่
00002684-n	lemma	ของ
00002684-n	lemma	วัตถุ
00002730-a	lemma	สู่ส่วนปลาย
00002843-a	lemma	สู่ส่วนโคน
00002942-v	lemma	หายใจหอบ
00002950-r	lemma	เพิ่ง
00002956-a	lemma	ซึ่งดึงออก
00003093-r	lemma	แทบจะไม่
00003093-r	lemma	แทบจะไ่ม่
00003133-v	lemma	เพิ่มอัตราการหายใจ
00003294-r	lemma	อย่างมีแนวกระทำ
00003316-v	lemma	สูดลม
00003316-v	lemma	สูดลมหายใจ
00003316-v	lemma	สูดหายใจเข้า
00003316-v	lemma	สูดอากาศ
00003356-a	lemma	ที่เพิ่งเกิด
00003431-v	lemma	เรอ
00003483-r	lemma	โดยพื้นฐาน
00003553-a	lemma	ซึ่งปรากฎขึ้น
00003553-a	lemma	ซึ่งเพิ่งเกิดขึ้นครั้งแรก
00003662-v	lemma	ปล่อยออกมา
00003700-a	lemma	ปริ
00003700-a	lemma	แตกออก
00003771-r	lemma	อย่างมีโชค
00003826-v	lemma	สะอึก
00003829-a	lemma	ซึ่งให้กำเนิด
00003925-r	lemma	จนน่าอิจฉา
00003939-a	lemma	ที่กำลังจะตาย
00003939-a	lemma	ใกล้จะตาย
00003993-n	lemma	ของประเภทเดียวกัน
00004032-v	lemma	ถอนหายใจ
00004032-v	lemma	ถอนหายใจยาว
00004032-v	lemma	ถอนใจ
00004032-v	lemma	ทอดถอนใจ
00004038-r	lemma	อย่างชัดเจน
00004171-a	lemma	ที่อยู่ในลมหายใจสุดท้าย
00004171-a	lemma	ที่ใกล้จะตาย
00004171-a	lemma	ร่อแร่
00004184-r	lemma	ในทางลบ
00004227-v	lemma	ผ่อนลมหายใจ
00004227-v	lemma	หายใจออก
00004258-n	lemma	สิ่งมีชีวิิต
00004288-r	lemma	อย่างให้โทษ
00004296-a	lemma	สุดท้ายก่อนตาย
00004413-a	lemma	ฉบับย่อ
00004413-a	lemma	ย่อ
00004475-n	lemma	สิ่งมีชีวิต
00004492-v	lemma	ถอนหายใจ
00004567-r	lemma	อย่างไม่มีเมตตา
00004605-v	lemma	ปล่อย
00004615-a	lemma	ซึ่งถูกตัดออก
00004722-r	lemma	เท่านั้น
00004722-r	lemma	เพียง
00004722-r	lemma	เพียงแค่
00004723-a	lemma	ที่ย่อให้เหลือครึ่งเดียว
00004817-a	lemma	ย่อ
00004819-v	lemma	จาม
00004967-r	lemma	อย่างแท้จริง
00004980-a	lemma	ฉบับเต็ม
00005041-v	lemma	หายใจเข้า
00005055-r	lemma	อย่างง่ายๆ
00005055-r	lemma	แบบง่ายๆ
00005107-a	lemma	ฉบับเต็ม
00005107-a	lemma	สมบูรณ์
00005205-a	lemma	สัมบูรณ์
00005210-r	lemma	นานมาแล้ว
00005343-r	lemma	อย่างมีเหตุผล
00005453-r	lemma	โดยไม่เขินอาย
00005526-v	lemma	หอบ
00005567-r	lemma	โดยอัตโนมัติ
00005599-a	lemma	ไร้ข้อกังขา
00005674-r	lemma	อย่างน่าใจหาย
00005718-a	lemma	ไม่สิ้นสุด
00005779-r	lemma	อย่างมหาศาล
00005779-r	lemma	อย่างใหญ่โต
00005787-n	lemma	สิ่งมีชีวิตใต้ทะเล
00005815-v	lemma	ไอ
00005930-n	lemma	สัตว์หรือพืชแคระแกร็น
00006024-n	lemma	สิ่งมีชีวิตที่สร้างอาหารเองไม่ได้
00006032-a	lemma	เทียบเคียง
00006034-r	lemma	อย่างทนโท่
00006100-v	lemma	ไอแห้งๆ
00006105-r	lemma	ส่วนใหญ่
00006105-r	lemma	โดยมาก
00006150-n	lemma	พ่อแม่
00006238-v	lemma	ขาก
00006245-a	lemma	ที่สัมพันธ์
00006245-a	lemma	เกี่ยวกับความสัมพันธ์
00006245-a	lemma	เชิืงสัมพันธ์
00006259-r	lemma	อย่างสำคัญ
00006269-n	lemma	สิ่งมีชีวิต
00006336-a	lemma	ซึ่งอุ้มน้ำไว้
00006423-r	lemma	อย่างไม่สำคัญ
00006484-n	lemma	เซลล์
00006523-v	lemma	ทำเสียงขึ้นจมูก
00006610-r	lemma	อย่างที่รู้สึกได้
00006697-v	lemma	หายใจฟืดฟาด
00006697-v	lemma	หายใจลำบาก
00006697-v	lemma	หายใจหืดหาด
00006729-r	lemma	โดยอุลตร้าโซนิค
00006802-v	lemma	ผ่อนลมหายใจหนัก
00006858-r	lemma	อย่างนำสมัย
00006885-a	lemma	ที่เป็นตัวทำละลาย
00007012-v	lemma	เป่า
00007012-v	lemma	เป่าแรงๆ
00007015-r	lemma	ประมาณ
00007096-a	lemma	ซึ่งดูดซึมความชื้นในอากาศ
00007193-v	lemma	หายใจหนักๆ
00007208-a	lemma	ซึ่งดูดซึมของเหลวได้
00007328-v	lemma	หาว
00007328-v	lemma	อ้าปากหาว
00007347-n	lemma	ผู้กระทำเหตุการณ์
00007347-n	lemma	ผู้ก่อให้เกิดเหตุการณ์
00007347-n	lemma	ผู้เป็นสาเหตุ
00007488-r	lemma	อย่างแน่นอน
00007516-a	lemma	ที่เหมือนฟองน้ำ
00007549-v	lemma	ทำจมูกฟุดฟิด
00007697-a	lemma	ที่ซับน้ำได้ดี
00007697-a	lemma	ที่ซึมซับได้ดี
00007703-r	lemma	เป็นบางส่วน
00007739-v	lemma	กระพริบตา
00007813-a	lemma	ซึ่งดูดซึมไม่ได้
00007813-a	lemma	ไม่ดูดซับน้ำ
00007846-n	lemma	คน
00007846-n	lemma	บุคคล
00007846-n	lemma	ปัจเจกชน
00007846-n	lemma	ปัจเจกบุคคล
00007990-a	lemma	กันน้ำ
00008007-r	lemma	อย่างสมบูรณ์
00008055-v	lemma	กระพริบตาถี่
00008195-v	lemma	ขยิบตา
00008206-a	lemma	ซึ่งดูดซับ
00008206-a	lemma	ที่ดูดซับ
00008299-v	lemma	ขยิบตา
00008435-v	lemma	บีบน้ำตา
00008595-a	lemma	ที่ไม่ดูดซับ
00008595-a	lemma	ที่ไม่ดูดซึม
00008600-r	lemma	เท่านั้น
00008600-r	lemma	โดยลำพัง
00008602-v	lemma	ทำตาเหล่
00008734-a	lemma	ที่ดูดซึมได้
00008799-v	lemma	ทำตาหยี
00008799-v	lemma	หยีตา
00008799-v	lemma	หรี่ตา
00008877-a	lemma	ที่ดูดซับได้
00008877-a	lemma	ที่ดูดซึมได้
00008977-v	lemma	ทำหน้ายี้
00008997-r	lemma	อย่างสมบูรณ์
00008997-r	lemma	โดยสิ้นเชิง
00009046-a	lemma	พอประมาณ
00009147-v	lemma	ชะล้าง
00009147-v	lemma	ผลัดขน
00009147-v	lemma	ลอกคราบ
00009346-a	lemma	ไม่มูมมาม
00009373-r	lemma	เสียสนิท
00009373-r	lemma	ไปเลย
00009492-v	lemma	ขอดเกล็ด
00009492-v	lemma	ขูดเกล็ด
00009541-r	lemma	อย่างตั้งฉาก
00009618-a	lemma	ที่เข้มงวดกับตนเอง
00009618-a	lemma	ที่เข้มงวดกับตัวเอง
00009631-v	lemma	กระตุก
00009631-v	lemma	ชักกระตุก
00009650-r	lemma	อย่างสมบูรณ์แบบ
00009859-r	lemma	อย่างสมบูรณ์
00009884-v	lemma	ทำให้สั่นรัว
00009966-r	lemma	ได้โปรด
00009978-a	lemma	ตะกละตะกลาม
00010047-r	lemma	อย่างไม่สมบูรณ์
00010047-r	lemma	ไม่สมบูรณ์
00010054-v	lemma	เคลื่อนไหวอย่างควบคุมไม่ได้
00010241-v	lemma	ทำโดยไม่รู้ตัว
